date,open,high,low,close,volume,vwap,symbol,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-09-07,53.51,53.61,53.13,53.32,77449176.0,53.3925,AAPL,52.21214285714286,52.13947925615016,52.249428571428574,52.64361031794961,52.84458156311526,-8.630952380952357,58.948630543702784,30.923373927937263,5.0,51.38,52.19,51.43,52.3,53.32,54.18
2019-09-08,53.51,53.61,53.13,53.32,77449176.0,53.3925,AAPL,52.21214285714286,52.13947925615016,52.249428571428574,52.64361031794961,52.84458156311526,-8.630952380952357,58.948630543702784,30.923373927937263,5.0,52.25,51.43,52.3,53.32,53.32,55.9
2019-09-09,53.71,54.11,52.77,53.54,109237604.0,53.5325,AAPL,52.279999999999994,52.32621535533014,52.426476190476194,52.924966894845646,53.181146388009815,-14.766839378238354,59.896056663834294,30.756875886374992,5.0,52.19,52.3,53.32,53.32,53.32,55.77
2019-09-10,53.47,54.2,52.93,54.18,127111724.0,53.695,AAPL,52.39357142857142,52.57338664128612,52.67980952380953,53.30651975669474,53.64500601654439,-0.5063291139241294,62.60019565917063,30.65639378255932,5.0,52.19,53.32,53.32,53.32,53.32,54.69
2019-09-11,54.52,55.93,54.43,55.9,177158584.0,55.195,AAPL,52.589285714285715,53.01693508911464,53.147333333333336,54.036725777253494,54.578517098822736,-0.5281690140845271,68.7070974631333,31.471953743756938,5.0,52.19,53.32,53.32,53.32,53.54,54.69
2019-09-12,56.2,56.61,55.72,55.77,128906676.0,56.075,AAPL,52.778571428571425,53.38401041056602,53.57142857142857,54.5859609522109,55.2133853039428,-13.207547169811265,67.80590262187879,32.52234835243099,5.0,52.19,53.32,53.32,53.54,54.18,54.69
2019-09-13,55.0,55.2,54.26,54.69,159053184.0,54.7875,AAPL,53.066428571428574,53.55814235582389,53.82628571428572,54.75074717780627,55.28641532559975,-33.217993079584794,60.68458189869425,32.02823866002386,5.0,51.43,53.32,53.54,54.18,55.9,54.98
2019-09-14,55.0,55.2,54.26,54.69,159053184.0,54.7875,AAPL,53.066428571428574,53.55814235582389,53.82628571428572,54.75074717780627,55.28641532559975,-33.217993079584794,60.68458189869425,32.02823866002386,5.0,52.3,53.54,54.18,55.9,55.77,55.18
2019-09-15,55.0,55.2,54.26,54.69,159053184.0,54.7875,AAPL,53.066428571428574,53.55814235582389,53.82628571428572,54.75074717780627,55.28641532559975,-33.217993079584794,60.68458189869425,32.02823866002386,5.0,53.32,54.18,55.9,55.77,54.69,55.69
2019-09-16,54.43,55.03,54.39,54.98,84632564.0,54.7075,AAPL,53.30642857142856,53.74772337504737,54.081428571428575,54.945617770759114,55.41444779607892,-28.20069204152253,61.84341649232025,31.569422517074383,5.0,53.32,55.9,55.77,54.69,54.69,55.24
2019-09-17,54.99,55.21,54.78,55.18,73545872.0,55.04,AAPL,53.60214285714285,53.93869359170772,54.331238095238085,55.14237625576352,55.553712110272194,-24.740484429065734,62.66082647054133,31.24820356645577,5.0,53.32,55.77,54.69,54.69,54.69,54.43
2019-09-18,55.27,55.71,54.86,55.69,102572372.0,55.3825,AAPL,53.910000000000004,54.17220111281336,54.60961904761905,55.417765939953284,55.81055488853373,-16.576576576576617,64.73542457405938,31.24019240562615,5.0,53.32,54.69,54.69,54.69,54.98,54.43
2019-09-19,55.5,55.94,55.09,55.24,88751504.0,55.4425,AAPL,54.12357142857143,54.31457429777158,54.786952380952386,55.517453908256634,55.82087714259213,-24.68468468468465,61.48908229406952,31.364885794997402,5.0,53.54,54.69,54.69,54.98,55.18,54.43
