date,open,high,low,close,volume,vwap,symbol,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-08-24,137.19,138.35,132.8,133.39,38515386.0,135.4325,MSFT,136.45571428571427,136.60540761915826,136.51257142857142,136.27252011535006,136.02022125227933,-79.63446475195856,44.31544760317489,33.059886797291924,4.0,133.98,138.41,137.26,138.79,137.78,135.74
2019-08-25,137.19,138.35,132.8,133.39,38515386.0,135.4325,MSFT,136.45571428571427,136.60540761915826,136.51257142857142,136.27252011535006,136.02022125227933,-79.63446475195856,44.31544760317489,33.059886797291924,4.0,133.68,137.26,138.79,137.78,133.39,135.56
2019-08-26,134.99,135.56,133.9,135.45,20325271.0,134.975,MSFT,136.50999999999996,136.45135326993716,136.3784761904762,136.02933699731176,135.73343304967554,-52.7415143603136,48.62888692704032,30.852569964302898,4.0,136.13,138.79,137.78,133.39,133.39,138.12
2019-08-27,136.39,136.72,134.66,135.74,23115635.0,135.8775,MSFT,136.54285714285714,136.35650616727887,136.27580952380953,135.90855790869966,135.62963343292162,-51.79558011049718,49.22517056751647,28.868950754140354,4.0,136.13,137.78,133.39,133.39,133.39,137.86
2019-08-28,134.88,135.76,133.55,135.56,17410828.0,134.9375,MSFT,136.30499999999998,136.25030534497503,136.1447619047619,135.77004280820972,135.50030255477418,-54.28176795580113,48.84618405830505,26.956357711226193,4.0,136.13,133.39,133.39,133.39,135.45,137.86
2019-08-29,137.25,138.44,136.91,138.12,20179716.0,137.68,MSFT,136.33428571428573,136.49959796564502,136.38676190476193,136.29942403836242,136.30839261360327,-18.922651933701694,54.241984125517746,25.723354254608726,4.0,138.41,133.39,133.39,135.45,135.74,137.86
2019-08-30,139.15,139.18,136.27,137.86,23946123.0,138.115,MSFT,136.48214285714286,136.68098490355902,136.59019047619046,136.66470284610622,136.83184856516743,-22.51381215469604,53.62332754193769,24.792522301579112,4.0,137.26,133.39,135.45,135.74,135.56,137.86
2019-08-31,139.15,139.18,136.27,137.86,23946123.0,138.115,MSFT,136.48214285714286,136.68098490355902,136.59019047619046,136.66470284610622,136.83184856516743,-22.51381215469604,53.62332754193769,24.792522301579112,4.0,138.79,135.45,135.74,135.56,138.12,136.04
2019-09-01,139.15,139.18,136.27,137.86,23946123.0,138.115,MSFT,136.48214285714286,136.68098490355902,136.59019047619046,136.66470284610622,136.83184856516743,-22.51381215469604,53.62332754193769,24.792522301579112,4.0,137.78,135.74,135.56,138.12,137.86,137.63
2019-09-02,139.15,139.18,136.27,137.86,23946123.0,138.115,MSFT,136.48214285714286,136.68098490355902,136.59019047619046,136.66470284610622,136.83184856516743,-22.51381215469604,53.62332754193769,24.792522301579112,4.0,133.39,135.56,138.12,137.86,137.86,140.05
